2023-10-20 00:50:04,806 INFO  DefaultSecurityFilterChain:54 - [] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4d1f6e1c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3431cb1f, org.springframework.security.web.context.SecurityContextHolderFilter@149ef64a, org.springframework.security.web.header.HeaderWriterFilter@5fb58f15, org.springframework.security.web.csrf.CsrfFilter@3c3357c7, org.springframework.security.web.authentication.logout.LogoutFilter@5b908c6d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73ba3c4b, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@75c095a5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@42c9f2cd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2e41b65a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4d25943d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@797c67c, org.springframework.security.web.access.ExceptionTranslationFilter@3b4b2c03, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1e5921ec]
2023-10-20 00:50:04,814 WARN  WebSecurity:289 - [] You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-10-20 00:50:04,814 INFO  DefaultSecurityFilterChain:51 - [] Will not secure Ant [pattern='/h2-console/**']
2023-10-20 00:50:05,024 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 7777 (http) with context path ''
2023-10-20 00:50:05,030 INFO  StartupInfoLogger:57 - [] Started ProgInzCourseProject2023Application in 3.845 seconds (process running for 4.367)
2023-10-20 00:50:09,180 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-20 00:50:09,181 INFO  FrameworkServlet:532 - [] Initializing Servlet 'dispatcherServlet'
2023-10-20 00:50:09,182 INFO  FrameworkServlet:554 - [] Completed initialization in 1 ms
2023-10-20 00:50:18,202 DEBUG StudentController:55 - [] Method: showAwailableThesis
2023-10-20 00:50:22,505 DEBUG StudentController:73 - [] Method: showThesisInformation
2023-10-20 00:50:24,611 DEBUG StudentController:90 - [] Method: addNewApplication
2023-10-20 00:50:36,359 WARN  AbstractHandlerExceptionResolver:207 - [] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String lv.venta.controllers.StudentController.addNewThesisApplication(lv.venta.models.ThesisApplication,long,org.springframework.validation.BindingResult,org.springframework.ui.Model) throws java.lang.Exception: [Field error in object 'thesisApplication' on field 'student': rejected value [null]; codes [NotNull.thesisApplication.student,NotNull.student,NotNull.lv.venta.models.users.Student,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [thesisApplication.student,student]; arguments []; default message [student]]; default message [must not be null]] ]
2023-10-20 00:55:23,052 INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:159 - [] Application shutdown requested.
2023-10-20 00:55:23,064 INFO  DirectJDKLog:173 - [] Stopping service [Tomcat]
2023-10-20 00:55:23,066 INFO  DirectJDKLog:173 - [] Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-10-20 00:55:23,075 INFO  AbstractEntityManagerFactoryBean:650 - [] Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 00:55:23,077 INFO  HikariDataSource:350 - [] HikariPool-1 - Shutdown initiated...
2023-10-20 00:55:23,084 INFO  HikariDataSource:352 - [] HikariPool-1 - Shutdown completed.
2023-10-20 00:55:24,882 INFO  StartupInfoLogger:51 - [] Starting ProgInzCourseProject2023Application using Java 17.0.6 with PID 26824 (F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023\target\classes started by User in F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023)
2023-10-20 00:55:24,885 INFO  SpringApplication:633 - [] No active profile set, falling back to 1 default profile: "default"
2023-10-20 00:55:25,482 INFO  RepositoryConfigurationDelegate:138 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 00:55:25,551 INFO  RepositoryConfigurationDelegate:208 - [] Finished Spring Data repository scanning in 62 ms. Found 13 JPA repository interfaces.
2023-10-20 00:55:26,013 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 7777 (http)
2023-10-20 00:55:26,022 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-10-20 00:55:26,022 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-10-20 00:55:26,101 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-10-20 00:55:26,102 INFO  ServletWebServerApplicationContext:291 - [] Root WebApplicationContext: initialization completed in 1176 ms
2023-10-20 00:55:26,226 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 00:55:26,274 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 6.2.2.Final
2023-10-20 00:55:26,277 INFO  Environment:191 - [] HHH000406: Using bytecode reflection optimizer
